Sequence accepted

Parse Tree (Father/Sibling Relations):
========================================

Index | Symbol | Type | Production | Father | Sibling | Lexeme | ST Location
------|--------|------|------------|--------|---------|--------|------------
    0 | program | NTERM |          0 |     -1 |      -1 | -      | -
    1 | stmt   | NTERM |          5 |      0 |      27 | -      | -
    2 | bind_stmt | NTERM |         12 |      1 |      -1 | -      | -
    3 | BIND   | TERM |         -1 |      2 |       4 | bind   | -
    4 | id     | NTERM |        114 |      2 |       6 | -      | -
    5 | IDENTIFIER | TERM |         -1 |      4 |      -1 | xs     | 6,0
    6 | ASSIGN | TERM |         -1 |      2 |       7 | :=     | -
    7 | expr   | NTERM |         28 |      2 |      -1 | -      | -
    8 | pipe_expr | NTERM |         29 |      7 |      -1 | -      | -
    9 | logic_or | NTERM |         48 |      8 |      26 | -      | -
   10 | logic_and | NTERM |         51 |      9 |      25 | -      | -
   11 | equality | NTERM |         54 |     10 |      24 | -      | -
   12 | relation | NTERM |         58 |     11 |      23 | -      | -
   13 | add    | NTERM |         64 |     12 |      22 | -      | -
   14 | mul    | NTERM |         68 |     13 |      21 | -      | -
   15 | unary  | NTERM |         75 |     14 |      20 | -      | -
   16 | power  | NTERM |         76 |     15 |      -1 | -      | -
   17 | primary | NTERM |         79 |     16 |      19 | -      | -
   18 | RANGE  | TERM |         -1 |     17 |      -1 | 1..20  | -
   19 | power_tail | NTERM |         78 |     16 |      -1 | -      | -
   20 | mul_tail | NTERM |         72 |     14 |      -1 | -      | -
   21 | add_tail | NTERM |         67 |     13 |      -1 | -      | -
   22 | relation_tail | NTERM |         63 |     12 |      -1 | -      | -
   23 | equality_tail | NTERM |         57 |     11 |      -1 | -      | -
   24 | logic_and_tail | NTERM |         53 |     10 |      -1 | -      | -
   25 | logic_or_tail | NTERM |         50 |      9 |      -1 | -      | -
   26 | pipe_expr_tail | NTERM |         31 |      8 |      -1 | -      | -
   27 | program_tail | NTERM |          1 |      0 |      -1 | -      | -
   28 | NL     | TERM |         -1 |     27 |      29 | NL     | -
   29 | opt_stmt | NTERM |          3 |     27 |     113 | -      | -
   30 | stmt   | NTERM |          5 |     29 |      -1 | -      | -
   31 | bind_stmt | NTERM |         12 |     30 |      -1 | -      | -
   32 | BIND   | TERM |         -1 |     31 |      33 | bind   | -
   33 | id     | NTERM |        114 |     31 |      35 | -      | -
   34 | IDENTIFIER | TERM |         -1 |     33 |      -1 | evens  | 4,0
   35 | ASSIGN | TERM |         -1 |     31 |      36 | :=     | -
   36 | expr   | NTERM |         28 |     31 |      -1 | -      | -
   37 | pipe_expr | NTERM |         29 |     36 |      -1 | -      | -
   38 | logic_or | NTERM |         48 |     37 |      56 | -      | -
   39 | logic_and | NTERM |         51 |     38 |      55 | -      | -
   40 | equality | NTERM |         54 |     39 |      54 | -      | -
   41 | relation | NTERM |         58 |     40 |      53 | -      | -
   42 | add    | NTERM |         64 |     41 |      52 | -      | -
   43 | mul    | NTERM |         68 |     42 |      51 | -      | -
   44 | unary  | NTERM |         75 |     43 |      50 | -      | -
   45 | power  | NTERM |         76 |     44 |      -1 | -      | -
   46 | primary | NTERM |         86 |     45 |      49 | -      | -
   47 | IDENTIFIER | TERM |         -1 |     46 |      48 | xs     | 6,0
   48 | primary_after_ident | NTERM |        100 |     46 |      -1 | -      | -
   49 | power_tail | NTERM |         78 |     45 |      -1 | -      | -
   50 | mul_tail | NTERM |         72 |     43 |      -1 | -      | -
   51 | add_tail | NTERM |         67 |     42 |      -1 | -      | -
   52 | relation_tail | NTERM |         63 |     41 |      -1 | -      | -
   53 | equality_tail | NTERM |         57 |     40 |      -1 | -      | -
   54 | logic_and_tail | NTERM |         53 |     39 |      -1 | -      | -
   55 | logic_or_tail | NTERM |         50 |     38 |      -1 | -      | -
   56 | pipe_expr_tail | NTERM |         30 |     37 |      -1 | -      | -
   57 | PIPELINE | TERM |         -1 |     56 |      58 | |>     | -
   58 | stage  | NTERM |         33 |     56 |     112 | -      | -
   59 | stage_keyword | NTERM |         35 |     58 |      -1 | -      | -
   60 | KEEP   | TERM |         -1 |     59 |      61 | keep   | -
   61 | LPAREN | TERM |         -1 |     59 |      62 | (      | -
   62 | lambda | NTERM |         45 |     59 |     111 | -      | -
   63 | id     | NTERM |        114 |     62 |      65 | -      | -
   64 | IDENTIFIER | TERM |         -1 |     63 |      -1 | n      | 7,0
   65 | LAMBDA | TERM |         -1 |     62 |      66 | ->     | -
   66 | expr   | NTERM |         28 |     62 |      -1 | -      | -
   67 | pipe_expr | NTERM |         29 |     66 |      -1 | -      | -
   68 | logic_or | NTERM |         48 |     67 |     110 | -      | -
   69 | logic_and | NTERM |         51 |     68 |     109 | -      | -
   70 | equality | NTERM |         54 |     69 |     108 | -      | -
   71 | relation | NTERM |         58 |     70 |      92 | -      | -
   72 | add    | NTERM |         64 |     71 |      91 | -      | -
   73 | mul    | NTERM |         68 |     72 |      90 | -      | -
   74 | unary  | NTERM |         75 |     73 |      80 | -      | -
   75 | power  | NTERM |         76 |     74 |      -1 | -      | -
   76 | primary | NTERM |         86 |     75 |      79 | -      | -
   77 | IDENTIFIER | TERM |         -1 |     76 |      78 | n      | 7,0
   78 | primary_after_ident | NTERM |        100 |     76 |      -1 | -      | -
   79 | power_tail | NTERM |         78 |     75 |      -1 | -      | -
   80 | mul_tail | NTERM |         71 |     73 |      -1 | -      | -
   81 | MOD    | TERM |         -1 |     80 |      82 | %      | -
   82 | unary  | NTERM |         75 |     80 |      89 | -      | -
   83 | power  | NTERM |         76 |     82 |      -1 | -      | -
   84 | primary | NTERM |         80 |     83 |      88 | -      | -
   85 | number | NTERM |        126 |     84 |      87 | -      | -
   86 | NUMBER | TERM |         -1 |     85 |      -1 | 2      | 3,0
   87 | primary_tail | NTERM |        103 |     84 |      -1 | -      | -
   88 | power_tail | NTERM |         78 |     83 |      -1 | -      | -
   89 | mul_tail | NTERM |         72 |     80 |      -1 | -      | -
   90 | add_tail | NTERM |         67 |     72 |      -1 | -      | -
   91 | relation_tail | NTERM |         63 |     71 |      -1 | -      | -
   92 | equality_tail | NTERM |         55 |     70 |      -1 | -      | -
   93 | EQ     | TERM |         -1 |     92 |      94 | ==     | -
   94 | relation | NTERM |         58 |     92 |     107 | -      | -
   95 | add    | NTERM |         64 |     94 |     106 | -      | -
   96 | mul    | NTERM |         68 |     95 |     105 | -      | -
   97 | unary  | NTERM |         75 |     96 |     104 | -      | -
   98 | power  | NTERM |         76 |     97 |      -1 | -      | -
   99 | primary | NTERM |         80 |     98 |     103 | -      | -
  100 | number | NTERM |        126 |     99 |     102 | -      | -
  101 | NUMBER | TERM |         -1 |    100 |      -1 | 0      | 9,0
  102 | primary_tail | NTERM |        103 |     99 |      -1 | -      | -
  103 | power_tail | NTERM |         78 |     98 |      -1 | -      | -
  104 | mul_tail | NTERM |         72 |     96 |      -1 | -      | -
  105 | add_tail | NTERM |         67 |     95 |      -1 | -      | -
  106 | relation_tail | NTERM |         63 |     94 |      -1 | -      | -
  107 | equality_tail | NTERM |         57 |     92 |      -1 | -      | -
  108 | logic_and_tail | NTERM |         53 |     69 |      -1 | -      | -
  109 | logic_or_tail | NTERM |         50 |     68 |      -1 | -      | -
  110 | pipe_expr_tail | NTERM |         31 |     67 |      -1 | -      | -
  111 | RPAREN | TERM |         -1 |     59 |      -1 | )      | -
  112 | pipe_expr_tail | NTERM |         31 |     56 |      -1 | -      | -
  113 | program_tail | NTERM |          1 |     27 |      -1 | -      | -
  114 | NL     | TERM |         -1 |    113 |     115 | NL     | -
  115 | opt_stmt | NTERM |          3 |    113 |     212 | -      | -
  116 | stmt   | NTERM |          5 |    115 |      -1 | -      | -
  117 | bind_stmt | NTERM |         12 |    116 |      -1 | -      | -
  118 | BIND   | TERM |         -1 |    117 |     119 | bind   | -
  119 | id     | NTERM |        114 |    117 |     121 | -      | -
  120 | IDENTIFIER | TERM |         -1 |    119 |      -1 | squares | 13,0
  121 | ASSIGN | TERM |         -1 |    117 |     122 | :=     | -
  122 | expr   | NTERM |         28 |    117 |      -1 | -      | -
  123 | pipe_expr | NTERM |         29 |    122 |      -1 | -      | -
  124 | logic_or | NTERM |         48 |    123 |     142 | -      | -
  125 | logic_and | NTERM |         51 |    124 |     141 | -      | -
  126 | equality | NTERM |         54 |    125 |     140 | -      | -
  127 | relation | NTERM |         58 |    126 |     139 | -      | -
  128 | add    | NTERM |         64 |    127 |     138 | -      | -
  129 | mul    | NTERM |         68 |    128 |     137 | -      | -
  130 | unary  | NTERM |         75 |    129 |     136 | -      | -
  131 | power  | NTERM |         76 |    130 |      -1 | -      | -
  132 | primary | NTERM |         86 |    131 |     135 | -      | -
  133 | IDENTIFIER | TERM |         -1 |    132 |     134 | evens  | 4,0
  134 | primary_after_ident | NTERM |        100 |    132 |      -1 | -      | -
  135 | power_tail | NTERM |         78 |    131 |      -1 | -      | -
  136 | mul_tail | NTERM |         72 |    129 |      -1 | -      | -
  137 | add_tail | NTERM |         67 |    128 |      -1 | -      | -
  138 | relation_tail | NTERM |         63 |    127 |      -1 | -      | -
  139 | equality_tail | NTERM |         57 |    126 |      -1 | -      | -
  140 | logic_and_tail | NTERM |         53 |    125 |      -1 | -      | -
  141 | logic_or_tail | NTERM |         50 |    124 |      -1 | -      | -
  142 | pipe_expr_tail | NTERM |         30 |    123 |      -1 | -      | -
  143 | PIPELINE | TERM |         -1 |    142 |     144 | |>     | -
  144 | stage  | NTERM |         33 |    142 |     182 | -      | -
  145 | stage_keyword | NTERM |         34 |    144 |      -1 | -      | -
  146 | APPLY  | TERM |         -1 |    145 |     147 | apply  | -
  147 | LPAREN | TERM |         -1 |    145 |     148 | (      | -
  148 | lambda | NTERM |         45 |    145 |     181 | -      | -
  149 | id     | NTERM |        114 |    148 |     151 | -      | -
  150 | IDENTIFIER | TERM |         -1 |    149 |      -1 | n      | 7,0
  151 | LAMBDA | TERM |         -1 |    148 |     152 | ->     | -
  152 | expr   | NTERM |         28 |    148 |      -1 | -      | -
  153 | pipe_expr | NTERM |         29 |    152 |      -1 | -      | -
  154 | logic_or | NTERM |         48 |    153 |     180 | -      | -
  155 | logic_and | NTERM |         51 |    154 |     179 | -      | -
  156 | equality | NTERM |         54 |    155 |     178 | -      | -
  157 | relation | NTERM |         58 |    156 |     177 | -      | -
  158 | add    | NTERM |         64 |    157 |     176 | -      | -
  159 | mul    | NTERM |         68 |    158 |     175 | -      | -
  160 | unary  | NTERM |         75 |    159 |     166 | -      | -
  161 | power  | NTERM |         76 |    160 |      -1 | -      | -
  162 | primary | NTERM |         86 |    161 |     165 | -      | -
  163 | IDENTIFIER | TERM |         -1 |    162 |     164 | n      | 7,0
  164 | primary_after_ident | NTERM |        100 |    162 |      -1 | -      | -
  165 | power_tail | NTERM |         78 |    161 |      -1 | -      | -
  166 | mul_tail | NTERM |         69 |    159 |      -1 | -      | -
  167 | MUL    | TERM |         -1 |    166 |     168 | *      | -
  168 | unary  | NTERM |         75 |    166 |     174 | -      | -
  169 | power  | NTERM |         76 |    168 |      -1 | -      | -
  170 | primary | NTERM |         86 |    169 |     173 | -      | -
  171 | IDENTIFIER | TERM |         -1 |    170 |     172 | n      | 7,0
  172 | primary_after_ident | NTERM |        100 |    170 |      -1 | -      | -
  173 | power_tail | NTERM |         78 |    169 |      -1 | -      | -
  174 | mul_tail | NTERM |         72 |    166 |      -1 | -      | -
  175 | add_tail | NTERM |         67 |    158 |      -1 | -      | -
